timestamp,resultid,vote_count
2026-04-16T06:03:52.070Z,A0207,0
2026-04-16T06:03:52.070Z,A0084,0
2026-04-16T06:03:52.070Z,S0099,0
2026-04-16T06:03:52.070Z,A0052,0
2026-04-16T06:03:52.070Z,A0041,48
2026-04-16T06:03:52.070Z,C0331,0
2026-04-16T06:03:52.070Z,B0157,0
2026-04-16T06:03:52.070Z,A0167,0
2026-04-16T06:03:52.070Z,A0015,0
2026-04-16T06:03:52.070Z,B0136,0
2026-04-16T06:03:52.070Z,C0198,0
2026-04-16T06:03:52.070Z,B0032,0
2026-04-16T06:03:52.070Z,A0050,0
2026-04-16T06:03:52.070Z,S0074,0
2026-04-16T06:03:52.070Z,B0071,0
2026-04-16T06:03:52.070Z,C0221,43
2026-04-16T06:03:52.070Z,C0052,0
2026-04-16T06:03:52.070Z,B0133,0
2026-04-16T06:03:52.070Z,A0036,0
2026-04-16T06:03:52.070Z,S0113,0
2026-04-16T06:03:52.070Z,A0025,2
2026-04-16T06:03:52.070Z,B0172,0
2026-04-16T06:03:52.070Z,S0179,0
2026-04-16T06:03:52.070Z,C0300,0
2026-04-16T06:03:52.070Z,A0136,0
2026-04-16T06:03:52.070Z,A0213,2
2026-04-16T06:03:52.070Z,B0128,0
2026-04-16T06:03:52.070Z,A0142,0
2026-04-16T06:03:52.070Z,C0264,0
2026-04-16T06:03:52.070Z,S0059,0
2026-04-16T06:03:52.070Z,A0295,17
2026-04-16T06:03:52.070Z,C0276,0
2026-04-16T06:03:52.070Z,B0024,0
2026-04-16T06:03:52.070Z,S0207,0
2026-04-16T06:03:52.070Z,C0236,0
2026-04-16T06:03:52.070Z,C0318,0
2026-04-16T06:03:52.070Z,B0123,0
2026-04-16T06:03:52.070Z,B0070,0
2026-04-16T06:03:52.070Z,D0032,0
2026-04-16T06:03:52.070Z,S0085,0
2026-04-16T06:03:52.070Z,B0107,0
2026-04-16T06:03:52.070Z,A0165,0
2026-04-16T06:03:52.070Z,A0287,0
2026-04-16T06:03:52.070Z,S0166,0
2026-04-16T06:03:52.070Z,S0235,0
2026-04-16T06:03:52.070Z,A0182,0
2026-04-16T06:03:52.070Z,C0154,14
2026-04-16T06:03:52.070Z,C0113,0
2026-04-16T06:03:52.070Z,D0011,0
2026-04-16T06:03:52.070Z,B0057,0
2026-04-16T06:03:52.070Z,C0287,0
2026-04-16T06:03:52.070Z,C0334,0
2026-04-16T06:03:52.070Z,B0173,0
2026-04-16T06:03:52.070Z,B0177,0
2026-04-16T06:03:52.070Z,C0012,0
2026-04-16T06:03:52.070Z,C0197,0
2026-04-16T06:03:52.070Z,B0117,0
2026-04-16T06:03:52.070Z,A0249,0
